"Experimental_Loop_PLUS_Pause","Letter_Control_Condition","Letter_Experimental_Condition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","condition1","condition2","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_KBR_Control","correct_KBR_Control_1","correct_KBR_Experimental","correct_KBR_Experimental_2","correct_response_Control","correct_response_Experimental","count_Blank_Control","count_Blank_Control_1","count_Blank_Experimental","count_Blank_Experimental_2","count_Block_sequence","count_Block_sequence_1","count_Counterbalance","count_End_of_Experiment","count_End_of_Practice","count_Experimental_Loop","count_Experimental_Loop_with_Pause","count_Experimental_PLUS_Pause_Sequence","count_Instructions","count_Instructions_Control_Condition","count_Instructions_Control_Condition_1","count_Instructions_Experimental_Condition","count_Instructions_Experimental_Condition_1","count_KBR_Control","count_KBR_Control_1","count_KBR_Experimental","count_KBR_Experimental_2","count_Letter_Control_Condition","count_Letter_Control_Condition_1","count_Letter_Experimental_Condition_2","count_Letter_Experimental_Condition_2_2","count_Pause_1","count_PracticeLoop","count_Trial_Loop_Control_Condition_Experimental_Phase_1","count_Trial_Loop_Control_Condition_Practice_Phase","count_Trial_Loop_Experimental_Condition_Experimental_Phase","count_Trial_Loop_Experimental_Condition_Practice_Phase","count_Trial_sequence_Control","count_Trial_sequence_Control_1","count_Trial_sequence_Experimental","count_Trial_sequence_Experimental_2","count_coroutines_Control","count_experiment","count_logger_1","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","live_row_Trial_Loop_Control_Condition_Practice_Phase","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_KBR_Control","response_KBR_Control_1","response_KBR_Experimental","response_KBR_Experimental_2","response_time","response_time_KBR_Control","response_time_KBR_Control_1","response_time_KBR_Experimental","response_time_KBR_Experimental_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Blank_Control","time_Blank_Control_1","time_Blank_Experimental","time_Blank_Experimental_2","time_Block_sequence","time_Block_sequence_1","time_Counterbalance","time_End_of_Experiment","time_End_of_Practice","time_Experimental_Loop","time_Experimental_Loop_with_Pause","time_Experimental_PLUS_Pause_Sequence","time_Instructions","time_Instructions_Control_Condition","time_Instructions_Control_Condition_1","time_Instructions_Experimental_Condition","time_Instructions_Experimental_Condition_1","time_KBR_Control","time_KBR_Control_1","time_KBR_Experimental","time_KBR_Experimental_2","time_Letter_Control_Condition","time_Letter_Control_Condition_1","time_Letter_Experimental_Condition_2","time_Letter_Experimental_Condition_2_2","time_Pause_1","time_PracticeLoop","time_Trial_Loop_Control_Condition_Experimental_Phase_1","time_Trial_Loop_Control_Condition_Practice_Phase","time_Trial_Loop_Experimental_Condition_Experimental_Phase","time_Trial_Loop_Experimental_Condition_Practice_Phase","time_Trial_sequence_Control","time_Trial_sequence_Control_1","time_Trial_sequence_Experimental","time_Trial_sequence_Experimental_2","time_experiment","time_logger_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"","H","X","87.6543209877","87.6543209877","765.148148148","765.148148148","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","118001","2000","0.0169490089067","1","1","1","0","1","m","None","4","38","4","31","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","31","4","38","4","31","0","0","5","1","5","1","4","38","4","31","4","0","80","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","5","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1998","543","384","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","193426","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","192427","12237","178222","24416","192427","28118","2059","153867","4093","182270","16286","12223","178202","24401","192413","1218","194425","Go No-go Task","71","61977","81","yes","1024"
"","H","X","87.8048780488","87.8048780488","780.170731707","780.170731707","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","116394","2000","0.0171830163067","1","1","1","0","1","m","None","4","38","4","32","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","32","4","38","4","32","0","0","5","1","5","1","4","38","4","32","4","0","81","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","6","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1997","543","384","1159","1997","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","195455","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","194456","12237","178222","24416","194456","28118","2059","153867","4093","182270","16286","12223","178202","24401","194442","1218","196454","Go No-go Task","72","63974","82","yes","1024"
"","H","A","86.7469879518","86.7469879518","794.855421687","794.855421687","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","112340","2000","0.017803097739","0","1","1","0","0","m","m","4","38","4","33","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","33","4","38","4","33","0","0","5","1","5","1","4","38","4","33","4","0","82","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1999","543","384","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","197485","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","196485","12237","178222","24416","196485","28118","2059","153867","4093","182270","16286","12223","178202","24401","196471","1218","198484","Go No-go Task","72","65973","83","yes","1024"
"","H","W","86.9047619048","86.9047619048","801.25","801.25","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","137741","2000","0.0145200049368","1","1","1","0","1","m","m","4","38","4","34","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","34","4","38","4","34","0","0","5","1","5","1","4","38","4","34","4","0","83","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","1332","543","384","1159","1332","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","199513","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","198513","12237","178222","24416","198513","28118","2059","153867","4093","182270","16286","12223","178202","24401","198499","1218","200512","Go No-go Task","73","67305","84","yes","1024"
"","H","X","85.8823529412","85.8823529412","798.517647059","798.517647059","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","181841","2000","0.0109986196732","0","1","1","0","0","m","None","4","38","4","35","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","35","4","38","4","35","0","0","5","1","5","1","4","38","4","35","4","0","84","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","9","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","569","543","384","1159","569","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","201540","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","200541","12237","178222","24416","200541","28118","2059","153867","4093","182270","16286","12223","178202","24401","200527","1218","202539","Go No-go Task","73","67874","85","yes","1024"
"","H","J","84.8837209302","84.8837209302","812.465116279","812.465116279","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","114836","2000","0.0174161412797","0","1","1","0","0","m","m","4","38","4","36","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","36","4","38","4","36","0","0","5","1","5","1","4","38","4","36","4","0","85","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","10","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1998","543","384","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","203575","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","202576","12237","178222","24416","202576","28118","2059","153867","4093","182270","16286","12223","178202","24401","202555","1218","204574","Go No-go Task","73","69872","86","yes","1024"
"","H","X","83.908045977","83.908045977","816.735632184","816.735632184","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","148155","2000","0.0134993756539","0","1","1","0","0","m","None","4","38","4","37","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","37","4","38","4","37","0","0","5","1","5","1","4","38","4","37","4","0","86","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","11","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","1184","543","384","1159","1184","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","205603","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","204604","12237","178222","24416","204604","28118","2059","153867","4093","182270","16286","12223","178202","24401","204590","1218","206602","Go No-go Task","73","71056","87","yes","1024"
"","H","I","84.0909090909","84.0909090909","812.011363636","812.011363636","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","185752","2000","0.010767044231","1","1","1","0","1","m","m","4","38","4","38","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","38","4","38","4","38","0","0","5","1","5","1","4","38","4","38","4","0","87","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","12","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","401","543","384","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","207634","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","206635","12237","178222","24416","206635","28118","2059","153867","4093","182270","16286","12223","178202","24401","206621","1218","208633","Go No-go Task","74","71457","88","yes","1024"
"","P","I","83.1460674157","83.1460674157","825.348314607","825.348314607","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","105823","2000","0.0188994830991","0","1","0","0","1","m","m","4","39","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","39","4","38","4","39","4","38","0","0","6","1","6","1","4","39","4","38","4","0","88","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","m","1999","543","1999","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","211729","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","210729","24416","206635","12237","210729","24416","206635","28118","2059","210692","4093","182270","16286","12223","210697","24401","206621","1218","212728","Go No-go Task","74","73456","89","yes","1024"
"","L","I","82.2222222222","82.2222222222","838.388888889","838.388888889","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","105631","2000","0.0189338357111","0","1","0","0","1","m","m","4","40","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","40","4","38","4","40","4","38","0","0","6","1","6","1","4","40","4","38","4","0","89","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","m","1999","543","1999","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","213771","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","212771","24416","206635","12237","212771","24416","206635","28118","2059","210692","4093","182270","16286","12223","212753","24401","206621","1218","214770","Go No-go Task","74","75455","90","yes","1024"
"","S","I","81.3186813187","81.3186813187","851.131868132","851.131868132","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","110351","2000","0.0181239861895","0","1","0","0","1","m","m","4","41","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","41","4","38","4","41","4","38","0","0","6","1","6","1","4","41","4","38","4","0","90","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","m","1998","543","1998","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","215799","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","214800","24416","206635","12237","214800","24416","206635","28118","2059","210692","4093","182270","16286","12223","214786","24401","206621","1218","216798","Go No-go Task","74","77453","91","yes","1024"
"","F","I","80.4347826087","80.4347826087","863.597826087","863.597826087","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","116373","2000","0.0171861170546","0","1","0","0","1","m","m","4","42","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","42","4","38","4","42","4","38","0","0","6","1","6","1","4","42","4","38","4","0","91","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","m","1998","543","1998","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","217827","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","216827","24416","206635","12237","216827","24416","206635","28118","2059","210692","4093","182270","16286","12223","216813","24401","206621","1218","218826","Go No-go Task","74","79451","92","yes","1024"
"","T","I","79.5698924731","79.5698924731","875.795698925","875.795698925","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","106956","2000","0.0186992782079","0","1","0","0","1","m","m","4","43","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","43","4","38","4","43","4","38","0","0","6","1","6","1","4","43","4","38","4","0","92","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","m","1998","543","1998","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","219866","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","218867","24416","206635","12237","218867","24416","206635","28118","2059","210692","4093","182270","16286","12223","218849","24401","206621","1218","220865","Go No-go Task","74","81449","93","yes","1024"
"","A","I","79.7872340426","79.7872340426","874","874","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","165678","2000","0.0120716087833","1","1","1","0","1","m","m","4","44","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","44","4","38","4","44","4","38","0","0","6","1","6","1","4","44","4","38","4","0","93","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","5","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","707","543","707","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","221894","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","220895","24416","206635","12237","220895","24416","206635","28118","2059","210692","4093","182270","16286","12223","220881","24401","206621","1218","222893","Go No-go Task","75","82156","94","yes","1024"
"","Z","I","80","80","869.6","869.6","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","179900","2000","0.0111172873819","1","1","1","0","1","m","m","4","45","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","45","4","38","4","45","4","38","0","0","6","1","6","1","4","45","4","38","4","0","94","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","6","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","456","543","456","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","223923","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","222924","24416","206635","12237","222923","24416","206635","28118","2059","210692","4093","182270","16286","12223","222910","24401","206621","1218","224922","Go No-go Task","76","82612","95","yes","1024"
"","U","I","80.2083333333","80.2083333333","867.229166667","867.229166667","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","177254","2000","0.0112832432554","1","1","1","0","1","m","m","4","46","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","46","4","38","4","46","4","38","0","0","6","1","6","1","4","46","4","38","4","0","95","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","642","543","642","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","225952","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","224953","24416","206635","12237","224953","24416","206635","28118","2059","210692","4093","182270","16286","12223","224939","24401","206621","1218","226951","Go No-go Task","77","83254","96","yes","1024"
"","G","I","80.412371134","80.412371134","861.041237113","861.041237113","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","193196","2000","0.0103521812046","1","1","1","0","1","m","m","4","47","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","47","4","38","4","47","4","38","0","0","6","1","6","1","4","47","4","38","4","0","96","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","267","543","267","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","227985","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","226986","24416","206635","12237","226986","24416","206635","28118","2059","210692","4093","182270","16286","12223","226967","24401","206621","1218","228984","Go No-go Task","78","83521","97","yes","1024"
"","D","I","80.612244898","80.612244898","856.132653061","856.132653061","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","186777","2000","0.0107079565471","1","1","1","0","1","m","m","4","48","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","48","4","38","4","48","4","38","0","0","6","1","6","1","4","48","4","38","4","0","97","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","9","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","380","543","380","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","230021","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","229022","24416","206635","12237","229022","24416","206635","28118","2059","210692","4093","182270","16286","12223","229004","24401","206621","1218","231020","Go No-go Task","79","83901","98","yes","1024"
"","H","I","80.8080808081","80.8080808081","851.232323232","851.232323232","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","187587","2000","0.0106617196288","1","1","1","0","1","m","m","4","49","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","49","4","38","4","49","4","38","0","0","6","1","6","1","4","49","4","38","4","0","98","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","10","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","371","543","371","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","232049","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","231049","24416","206635","12237","231049","24416","206635","28118","2059","210692","4093","182270","16286","12223","231035","24401","206621","1218","233048","Go No-go Task","80","84272","99","yes","1024"
"","R","I","81","81","847.49","847.49","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","181631","2000","0.0110113361706","1","1","1","0","1","m","m","4","50","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","50","4","38","4","50","4","38","0","0","6","1","6","1","4","50","4","38","4","0","99","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","11","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","477","543","477","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","234077","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","233077","24416","206635","12237","233077","24416","206635","28118","2059","210692","4093","182270","16286","12223","233063","24401","206621","1218","235076","Go No-go Task","81","84749","100","yes","1024"
"","Q","I","81.1881188119","81.1881188119","843.693069307","843.693069307","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","180718","2000","0.0110669662126","1","1","1","0","1","m","m","4","51","4","38","1","6","0","0","0","0","0","0","0","1","6","1","6","4","51","4","38","4","51","4","38","0","0","6","1","6","1","4","51","4","38","4","0","100","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","12","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","464","543","464","1159","401","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","236105","25416","207634","14290","208696","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","180275","12237","235106","24416","206635","12237","235106","24416","206635","28118","2059","210692","4093","182270","16286","12223","235092","24401","206621","1218","237104","Go No-go Task","82","85213","101","yes","1024"
"","Q","X","81.3725490196","81.3725490196","855.019607843","855.019607843","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","106242","2000","0.0188249468195","1","1","1","0","1","m","None","4","51","4","39","1","7","0","0","0","0","0","0","0","1","7","1","7","4","51","4","39","4","51","4","39","0","0","7","1","7","1","4","51","4","39","4","0","101","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1999","543","464","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","236105","25416","240168","14290","237157","1219","NA","26435","38118","28063","28117","1219","2098","208697","14291","237158","12237","235106","24416","239168","12237","235106","24416","239168","28118","2059","210692","4093","239153","16286","12223","235092","24401","239154","1218","241167","Go No-go Task","83","87212","102","yes","1024"
